symbol,open,close,high,low,volume,changePercent,date,companyName,sector
FRC,118.0,119.01,120.26,117.265,683654,0.0247,2020-08-11,First Republic Bank,Finance and Insurance
FRC,120.92,119.36,121.17,118.065,763446,0.0029,2020-08-12,First Republic Bank,Finance and Insurance
FRC,117.71,117.59,118.68,117.48,400451,-0.0148,2020-08-13,First Republic Bank,Finance and Insurance
FRC,116.74,117.34,118.25,116.47,516665,-0.0021,2020-08-14,First Republic Bank,Finance and Insurance
FRC,116.66,115.52,117.285,115.42,659800,-0.0155,2020-08-17,First Republic Bank,Finance and Insurance
FRC,115.54,114.27,115.91,113.84,463092,-0.0108,2020-08-18,First Republic Bank,Finance and Insurance
FRC,114.97,114.63,116.365,114.525,427695,0.0032,2020-08-19,First Republic Bank,Finance and Insurance
FRC,113.59,112.81,114.145,112.61,471200,-0.0159,2020-08-20,First Republic Bank,Finance and Insurance
FRC,112.58,112.97,113.12,111.53,544581,0.0014,2020-08-21,First Republic Bank,Finance and Insurance
FRC,113.35,115.09,115.14,112.8301,793049,0.0188,2020-08-24,First Republic Bank,Finance and Insurance
FRC,116.58,115.67,117.26,114.82,455778,0.005,2020-08-25,First Republic Bank,Finance and Insurance
FRC,115.09,113.43,115.15,113.32,526922,-0.0194,2020-08-26,First Republic Bank,Finance and Insurance
FRC,113.68,114.84,115.465,113.65,504380,0.0124,2020-08-27,First Republic Bank,Finance and Insurance
FRC,116.06,114.74,116.14,114.25,439080,-0.0009,2020-08-28,First Republic Bank,Finance and Insurance
FRC,114.33,112.91,114.78,112.85,729250,-0.0159,2020-08-31,First Republic Bank,Finance and Insurance
FRC,112.44,113.37,113.84,111.85,616062,0.0041,2020-09-01,First Republic Bank,Finance and Insurance
FRC,113.09,114.39,115.1,112.68,1261715,0.009,2020-09-02,First Republic Bank,Finance and Insurance
FRC,115.35,112.99,116.76,112.5,1083333,-0.0122,2020-09-03,First Republic Bank,Finance and Insurance
FRC,114.96,114.53,115.81,112.72,739457,0.0136,2020-09-04,First Republic Bank,Finance and Insurance
FRC,113.41,110.11,113.46,109.38,818738,-0.0386,2020-09-08,First Republic Bank,Finance and Insurance
FRC,110.78,109.49,111.08,109.06,635988,-0.0056,2020-09-09,First Republic Bank,Finance and Insurance
FRC,109.68,107.5,110.59,107.05,872378,-0.0182,2020-09-10,First Republic Bank,Finance and Insurance
FRC,107.37,106.98,108.11,106.02,672261,-0.0048,2020-09-11,First Republic Bank,Finance and Insurance
FRC,107.77,107.9,109.535,107.42,560016,0.0086,2020-09-14,First Republic Bank,Finance and Insurance
FRC,108.34,108.07,109.08,107.05,641732,0.0016,2020-09-15,First Republic Bank,Finance and Insurance
FRC,108.05,108.38,109.5726,107.36,849632,0.0029,2020-09-16,First Republic Bank,Finance and Insurance
FRC,107.13,107.88,108.49,106.61,721263,-0.0046,2020-09-17,First Republic Bank,Finance and Insurance
FRC,107.09,108.43,108.89,107.03,1134549,0.0051,2020-09-18,First Republic Bank,Finance and Insurance
FRC,106.05,105.86,107.53,104.3,884551,-0.0237,2020-09-21,First Republic Bank,Finance and Insurance
FRC,105.6,103.2,106.825,101.76,1242621,-0.0251,2020-09-22,First Republic Bank,Finance and Insurance
FRC,103.39,100.94,104.58,100.85,649000,-0.0219,2020-09-23,First Republic Bank,Finance and Insurance
FRC,101.53,102.99,104.19,100.38,880369,0.0203,2020-09-24,First Republic Bank,Finance and Insurance
FRC,102.11,104.91,105.1,102.11,662059,0.0186,2020-09-25,First Republic Bank,Finance and Insurance
FRC,106.36,108.17,109.2,105.935,975291,0.0311,2020-09-28,First Republic Bank,Finance and Insurance
FRC,107.64,107.67,108.97,107.31,927657,-0.0046,2020-09-29,First Republic Bank,Finance and Insurance
FRC,108.0,109.06,110.26,107.78,842436,0.0129,2020-09-30,First Republic Bank,Finance and Insurance
BEN,21.01,20.2,21.01,20.18,2999269,0.0,2020-07-01,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.75,20.38,21.0,20.305,2559628,0.0089,2020-07-02,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.94,20.93,21.25,20.77,2316142,0.027,2020-07-06,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.63,20.67,20.915,20.58,2770542,-0.0124,2020-07-07,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.76,21.13,21.23,20.63,2681861,0.0223,2020-07-08,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.02,20.27,21.105,20.19,2785853,-0.0407,2020-07-09,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.28,21.1,21.16,20.265,4200834,0.0409,2020-07-10,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.33,20.86,21.395,20.77,3632720,-0.0114,2020-07-13,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.55,20.76,20.85,20.33,2194826,-0.0048,2020-07-14,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.31,21.52,21.58,20.86,2468245,0.0366,2020-07-15,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.3,21.31,21.84,21.14,1700830,-0.0098,2020-07-16,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.38,21.05,21.61,20.98,2142000,-0.0122,2020-07-17,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.87,20.4,20.9,20.3,3621776,-0.0309,2020-07-20,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.54,21.26,21.26,20.51,3827413,0.0422,2020-07-21,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.18,20.91,21.33,20.78,2890828,-0.0165,2020-07-22,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.75,20.8,20.98,20.465,4056126,-0.0053,2020-07-23,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.87,20.6,21.1,20.545,3001810,-0.0096,2020-07-24,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.45,21.02,21.165,20.42,4181573,0.0204,2020-07-27,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.76,20.56,20.79,19.78,7233290,-0.0219,2020-07-28,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.77,21.12,21.18,20.54,5442832,0.0272,2020-07-29,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.69,20.67,20.86,20.47,3363695,-0.0213,2020-07-30,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.62,21.05,21.06,20.5,13424161,0.0184,2020-07-31,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.05,21.47,21.61,20.91,3111258,0.02,2020-08-03,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.3,21.21,21.51,21.05,2346807,-0.0121,2020-08-04,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.37,22.18,22.24,21.37,3199415,0.0457,2020-08-05,"Franklin Resources, Inc.",Finance and Insurance
BEN,22.05,21.85,22.23,21.805,2363626,-0.0149,2020-08-06,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.69,22.31,22.38,21.63,2108836,0.0211,2020-08-07,"Franklin Resources, Inc.",Finance and Insurance
BEN,22.41,22.38,22.47,22.1,2345761,0.0031,2020-08-10,"Franklin Resources, Inc.",Finance and Insurance
BEN,22.71,22.67,23.2634,22.555,3962008,0.013,2020-08-11,"Franklin Resources, Inc.",Finance and Insurance
BEN,23.02,22.01,23.29,21.79,3520911,-0.0291,2020-08-12,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.81,21.88,22.22,21.67,2031424,-0.0059,2020-08-13,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.76,21.95,22.07,21.51,1613566,0.0032,2020-08-14,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.9,21.8,22.055,21.56,2036514,-0.0068,2020-08-17,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.8,21.72,22.03,21.69,2131681,-0.0037,2020-08-18,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.68,21.67,21.98,21.56,1849399,-0.0023,2020-08-19,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.45,21.17,21.56,21.165,2058500,-0.0231,2020-08-20,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.12,20.99,21.315,20.785,2795755,-0.0085,2020-08-21,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.04,21.57,21.58,20.94,2492040,0.0276,2020-08-24,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.77,21.46,21.88,21.395,1218873,-0.0051,2020-08-25,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.4,21.3,21.43,21.17,1904878,-0.0075,2020-08-26,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.32,21.35,21.58,21.085,2383785,0.0023,2020-08-27,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.52,21.33,21.52,21.06,2000836,-0.0009,2020-08-28,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.34,21.06,21.37,20.89,2796534,-0.0127,2020-08-31,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.87,21.02,21.115,20.75,1952350,-0.0019,2020-09-01,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.0,21.77,21.87,20.92,3627383,0.0357,2020-09-02,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.79,21.52,22.2,21.39,2798099,-0.0115,2020-09-03,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.82,21.3,21.97,21.29,2854165,-0.0102,2020-09-04,"Franklin Resources, Inc.",Finance and Insurance
BEN,21.13,20.56,21.19,20.43,3195181,-0.0347,2020-09-08,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.68,20.4,20.71,20.275,3017220,-0.0078,2020-09-09,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.27,20.07,20.425,20.015,3931926,-0.0162,2020-09-10,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.09,20.23,20.375,20.04,2852135,0.008,2020-09-11,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.33,20.37,20.63,20.22,2438591,0.0069,2020-09-14,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.42,20.39,20.6,20.37,2501308,0.001,2020-09-15,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.41,21.06,21.38,20.37,2439641,0.0329,2020-09-16,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.77,21.0,21.03,20.63,2173026,-0.0028,2020-09-17,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.95,21.22,21.4,20.89,5448733,0.0105,2020-09-18,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.69,20.1,21.01,20.02,4215171,-0.0528,2020-09-21,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.06,19.87,20.29,19.56,2695513,-0.0114,2020-09-22,"Franklin Resources, Inc.",Finance and Insurance
BEN,19.9,19.58,20.37,19.58,2798920,-0.0146,2020-09-23,"Franklin Resources, Inc.",Finance and Insurance
BEN,19.53,19.27,19.615,19.105,2818397,-0.0158,2020-09-24,"Franklin Resources, Inc.",Finance and Insurance
BEN,19.16,19.64,19.735,19.15,2664957,0.0192,2020-09-25,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.0,20.47,20.575,19.99,2903104,0.0423,2020-09-28,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.09,20.04,20.18,19.785,2218932,-0.021,2020-09-29,"Franklin Resources, Inc.",Finance and Insurance
BEN,20.13,20.35,20.546,20.07,2446891,0.0155,2020-09-30,"Franklin Resources, Inc.",Finance and Insurance
APH,48.075,47.54,48.425,47.31,2931042,0.0,2020-07-01,Amphenol Corp.,Manufacturing
APH,48.375,47.935,48.67,47.6525,2541584,0.0083,2020-07-02,Amphenol Corp.,Manufacturing
APH,48.765,49.07,49.195,48.505,2077146,0.0237,2020-07-06,Amphenol Corp.,Manufacturing
APH,48.585,48.11,48.987,48.045,1839284,-0.0196,2020-07-07,Amphenol Corp.,Manufacturing
APH,48.095,47.525,48.25,47.1625,2992730,-0.0122,2020-07-08,Amphenol Corp.,Manufacturing
APH,47.395,47.245,47.705,46.81,3387250,-0.0059,2020-07-09,Amphenol Corp.,Manufacturing
APH,47.325,47.465,47.66,46.76,2313278,0.0047,2020-07-10,Amphenol Corp.,Manufacturing
APH,47.935,47.23,48.1034,47.09,3772766,-0.005,2020-07-13,Amphenol Corp.,Manufacturing
APH,47.265,48.7,48.735,47.08,3962542,0.0311,2020-07-14,Amphenol Corp.,Manufacturing
APH,49.145,50.22,50.39,49.145,4723642,0.0312,2020-07-15,Amphenol Corp.,Manufacturing
APH,50.225,50.455,50.66,50.1275,2234466,0.0047,2020-07-16,Amphenol Corp.,Manufacturing
APH,50.76,51.01,51.275,50.555,2472774,0.011,2020-07-17,Amphenol Corp.,Manufacturing
APH,50.855,50.74,51.0025,50.295,2909142,-0.0053,2020-07-20,Amphenol Corp.,Manufacturing
APH,51.06,51.05,51.59,50.935,2507622,0.0061,2020-07-21,Amphenol Corp.,Manufacturing
APH,52.0,51.635,53.155,50.9714,3837170,0.0115,2020-07-22,Amphenol Corp.,Manufacturing
APH,52.23,52.8,52.99,51.915,4446340,0.0226,2020-07-23,Amphenol Corp.,Manufacturing
APH,52.575,52.195,52.785,51.88,2935570,-0.0115,2020-07-24,Amphenol Corp.,Manufacturing
APH,52.21,53.085,53.215,52.01,2459008,0.0171,2020-07-27,Amphenol Corp.,Manufacturing
APH,52.965,52.105,53.07,52.01,2376138,-0.0185,2020-07-28,Amphenol Corp.,Manufacturing
APH,52.26,52.915,53.095,52.045,2727904,0.0155,2020-07-29,Amphenol Corp.,Manufacturing
APH,52.35,52.585,52.715,52.06,2380738,-0.0062,2020-07-30,Amphenol Corp.,Manufacturing
